title,id,full_name,name_age,gender,rs_frequency,author,newID,age.stage.original,age_recoded,freq_sum,class
ALMOND_thetaleofangelinobrown_2017,monteverdi,Millicent Monteverdi,MillicentMonteverdi_adult_char,female,202,ALMOND,Millicent_Monteverdi_ALMOND_char,adult,old,202,Madeup
FINE_crummymummyandme_1988,minna,Minna,Minna_child_char,female,1059,FINE,Minna_FINE_char,child,young,1059,Madeup
GAVIN_blackberryblue_2013,miskouri,Miskouri,Miskouri_adult_char,female,253,GAVIN,Miskouri_GAVIN_char,adult,old,253,Madeup
FINE_thesummerhouseloon_1978,father,Muffet,Muffet_41.0_char,male,646,FINE,Muffet_FINE_char,41,old,663,Madeup
ROWLING_harrypotterandthechamberofsecrets_1998,fletcher,Mundungus Fletcher,MundungusFletcher_adult_char,male,1,ROWLING,Mundungus_Fletcher_ROWLING_char,adult,old,400,Madeup
COTTRELLBOYCE_theunforgottencoat_2011,nergui,Nergui Tuul,NerguiTuul_child_char,male,452,COTTRELLBOYCE,Nergui_Tuul_COTTRELLBOYCE_char,child,young,452,Madeup
ALMOND_theboywhoswamwithpiranhas_2012,nitasha,Nitasha,Nitasha_child_char,female,305,ALMOND,Nitasha_ALMOND_char,child,young,305,Madeup
FINE_stepbywickedstep_1995,robbo,Robbo,Robbo_adolescent_char,male,487,FINE,Robbo_FINE_char,adolescent,young,487,Madeup
ALMOND_skellig_1998,garageboy,Skellig,Skellig_adult_char,male,796,ALMOND,Skellig_ALMOND_char,adult,old,796,Madeup
ALMOND_mynameismina_2010,steepy,Steepy,Steepy_adolescent_char,male,82,ALMOND,Steepy_ALMOND_char,adolescent,young,82,Madeup
GAIMAN_fortunatelythemilk_2013,steg,Steg,Steg_adult_char,female,260,GAIMAN,Steg_GAIMAN_char,adult,old,260,Madeup
FINE_howtocrosstheroadandnotturnintoapizza_2002,misstalentino,Talentino,Talentino_adult_char,female,99,FINE,Talentino_FINE_char,adult,old,99,Madeup
WILSON_theillustratedmum_1999,tasha,Tasha,Tasha_10.0_char,female,61,WILSON,Tasha_WILSON_char,10,young,61,Madeup
FINE_eatingthingsonsticks_2009,titania,Titania,Titania_infant_char,female,21,FINE,Titania_FINE_char,infant,young,367,Madeup
PULLMAN_thesecretcommonwealth_2019,yozdah,Yozadah,Yozadah_adult_char,female,94,PULLMAN,Yozadah_PULLMAN_char,adult,old,94,Madeup
ROWLING_careerofevil_2015,zahara,Zahara,Zahara_infant_char,female,75,ROWLING,Zahara_ROWLING_char,infant,young,75,Madeup
FINE_asuddenglowofgold_1991,zub,Zubaida,Zubaida_adult_char,female,98,FINE,Zubaida_FINE_char,adult,old,98,Madeup
