"","title","id","full.name","name_age","species","gender","age.stage","rs_frequency","author","newID","age.stage.original","age_recoded","all_ages_char","freq_sum"
"1469","FINE_thebookofthebanshee_1991","misssullivan","Sullivan","Sullivan_adult_char","human","female",45,110,"FINE","Sullivan_FINE_char","adult","old","old old",111
"1472","FINE_thebookofthebanshee_1991","mrastley","Astley","Astley_adult_char","human","male",45,50,"FINE","Astley_FINE_char","adult","old","old",50
"1473","FINE_thebookofthebanshee_1991","missadulewebe","Lorna Adulewebe","LornaAdulewebe_adult_char","human","female",45,64,"FINE","Lorna_Adulewebe_FINE_char","adult","old","old",64
"1474","FINE_thebookofthebanshee_1991","williamsaffery","William Scott Saffery","WilliamScottSaffery_adolescent_char","other","male",15,245,"FINE","William_Scott_Saffery_FINE_char","adolescent","young","young",245
"1488","FINE_thebookofthebanshee_1991","macfie","MacFie","MacFie_adult_char","other","male",45,6,"FINE","MacFie_FINE_char","adult","old","old old old",60
"1489","FINE_thebookofthebanshee_1991","dadchopper","Chopperly","Chopperly_adult_char","human","male",45,142,"FINE","Chopperly_FINE_char","adult","old","old",142
"1492","FINE_thegrannyproject_1983","henry","Henry Harris","HenryHarris_42.0_char","human","male",42,731,"FINE","Henry_Harris_FINE_char","42","old","old",731
"1493","FINE_thegrannyproject_1983","natasha","Natasha Dolgorova","NatashaDolgorova_adult_char","human","female",45,661,"FINE","Natasha_Dolgorova_FINE_char","adult","old","old",661
"1494","FINE_thegrannyproject_1983","granny","Adelaide  Harris","AdelaideHarris_87.0_char","human","female",87,922,"FINE","Adelaide__Harris_FINE_char","87","old","old",922
"1495","FINE_thegrannyproject_1983","ivan","Ivan Harris","IvanHarris_adolescent_char","human","male",15,1165,"FINE","Ivan_Harris_FINE_char","adolescent","young","young young",1166
"1496","FINE_thegrannyproject_1983","sophie","Sophie Harris","SophieHarris_latechild_char","human","female",12,783,"FINE","Sophie_Harris_FINE_char","latechild","young","young",783
"1497","FINE_thegrannyproject_1983","tanya","Tanya Harris","TanyaHarris_middlechild_char","human","female",10,397,"FINE","Tanya_Harris_FINE_char","middlechild","young","young",397
"1498","FINE_thegrannyproject_1983","nicholas","Nicholas Harris","NicholasHarris_middlechild_char","human","male",10,405,"FINE","Nicholas_Harris_FINE_char","middlechild","young","young",405
"1506","FINE_thegrannyproject_1983","lucy","Lucy","Lucy_adult_char","animal","female",45,51,"FINE","Lucy_FINE_char","adult","old","old old",71
"1517","FINE_thegrannyproject_1983","ivanbaby","Ivan Harris","IvanHarris_infant_char","human","male",5,1,"FINE","Ivan_Harris_FINE_char","infant","young","young young",1166
"1531","FINE_thesameoldstoryeveryyear_1992","maya","Maya","Maya_child_char","human","female",10,129,"FINE","Maya_FINE_char","child","young","young",129
"1534","FINE_thesameoldstoryeveryyear_1992","mrkelly","Kelly","Kelly_adult_char","human","male",45,158,"FINE","Kelly_FINE_char","adult","old","old",158
"1539","FINE_thestonemenagerie_1980","ally","Alasdair Seton","AlasdairSeton_adolescent_char","human","male",15,1596,"FINE","Alasdair_Seton_FINE_char","adolescent","young","young",1596
"1540","FINE_thestonemenagerie_1980","mother","Nancy Seton","NancySeton_adult_char","human","female",45,304,"FINE","Nancy_Seton_FINE_char","adult","old","old",304
"1541","FINE_thestonemenagerie_1980","auntchloe","Chloe Seton","ChloeSeton_adult_char","human","female",45,565,"FINE","Chloe_Seton_FINE_char","adult","old","old",565
"1542","FINE_thestonemenagerie_1980","father","James Seton","JamesSeton_adult_char","human","male",45,89,"FINE","James_Seton_FINE_char","adult","old","old",89
"1543","FINE_thestonemenagerie_1980","flora","Flora Henderson","FloraHenderson_adult_char","human","female",45,740,"FINE","Flora_Henderson_FINE_char","adult","old","old",740
"1545","FINE_thestonemenagerie_1980","beddowes","Beddowes","Beddowes_adult_char","human","female",45,86,"FINE","Beddowes_FINE_char","adult","old","old",86
"1547","FINE_thestonemenagerie_1980","dcbarney","Elizabeth Mary Barney","ElizabethMaryBarney_adult_char","human","female",45,126,"FINE","Elizabeth_Mary_Barney_FINE_char","adult","old","old",126
"1548","FINE_thestonemenagerie_1980","riley","William Riley","WilliamRiley_adult_char","human","male",45,747,"FINE","William_Riley_FINE_char","adult","old","old",747
"1551","FINE_thestonemenagerie_1980","unbornchloeelizabeth","Chloe Elizabeth Henderson-Riley","ChloeElizabethHenderson-Riley_0.0_char","human","female",0,8,"FINE","Chloe_Elizabeth_Henderson-Riley_FINE_char","0","young","young young",51
"1552","FINE_thestonemenagerie_1980","bornchloeelizabeth","Chloe Elizabeth Henderson-Riley","ChloeElizabethHenderson-Riley_0.0_char","human","female",0,43,"FINE","Chloe_Elizabeth_Henderson-Riley_FINE_char","0","young","young young",51
"1555","FINE_thesummerhouseloon_1978","father","Muffet","Muffet_41.0_char","human","male",41,646,"FINE","Muffet_FINE_char","41","old","old old old",663
"1556","FINE_thesummerhouseloon_1978","father5","Muffet","Muffet_adult_char","human","male",45,15,"FINE","Muffet_FINE_char","adult","old","old old old",663
"1557","FINE_thesummerhouseloon_1978","fatheryoung","Muffet","Muffet_adult_char","human","male",45,2,"FINE","Muffet_FINE_char","adult","old","old old old",663
"1559","FINE_thesummerhouseloon_1978","ione","Ione Muffet","IoneMuffet_adolescent_char","human","female",15,1375,"FINE","Ione_Muffet_FINE_char","adolescent","young","young young young young",1418
"1560","FINE_thesummerhouseloon_1978","ione3","Ione Muffet","IoneMuffet_3.0_char","human","female",3,1,"FINE","Ione_Muffet_FINE_char","3","young","young young young young",1418
"1561","FINE_thesummerhouseloon_1978","ione5","Ione Muffet","IoneMuffet_5.0_char","human","female",5,38,"FINE","Ione_Muffet_FINE_char","5","young","young young young young",1418
"1562","FINE_thesummerhouseloon_1978","ioneyoung","Ione Muffet","IoneMuffet_child_char","human","female",10,4,"FINE","Ione_Muffet_FINE_char","child","young","young young young young",1418
"1564","FINE_thesummerhouseloon_1978","mandy","Mandy","Mandy_oldadult_char","animal","female",60,110,"FINE","Mandy_FINE_char","oldadult","old","old",110
"1569","FINE_thesummerhouseloon_1978","mrsphipps","Phipps","Phipps_adult_char","human","female",45,54,"FINE","Phipps_FINE_char","adult","old","old",54
"1572","FINE_thesummerhouseloon_1978","oldman","Bill","Bill_deepoldadult_char","human","male",60,69,"FINE","Bill_FINE_char","deepoldadult","old","old old",167
"1577","FINE_theworstchildieverhad_1991","mrsmackle","Mackle","Mackle_adult_char","human","female",45,134,"FINE","Mackle_FINE_char","adult","old","old",134
"1579","FINE_theworstchildieverhad_1991","jeff","Jeff","Jeff_adult_char","human","male",45,67,"FINE","Jeff_FINE_char","adult","old","old",67
"1580","FINE_theworstchildieverhad_1991","josh","Josh","Josh_infant_char","human","male",5,21,"FINE","Josh_FINE_char","infant","young","young young young",159
"1582","FINE_theworstchildieverhad_1991","susaninfant","Susan Solly","SusanSolly_infant_char","human","female",5,3,"FINE","Susan_Solly_FINE_char","infant","young","young young young",101
"1583","FINE_theworstchildieverhad_1991","susanmiddle","Susan Solly","SusanSolly_middlechild_char","human","female",10,89,"FINE","Susan_Solly_FINE_char","middlechild","young","young young young",101
"1584","FINE_theworstchildieverhad_1991","susanlate","Susan Solly","SusanSolly_latechild_char","human","female",12,9,"FINE","Susan_Solly_FINE_char","latechild","young","young young young",101
"1587","FINE_troubleintoadpool_2012","ralph","Ralph","Ralph_child_char","human","male",10,1792,"FINE","Ralph_FINE_char","child","young","young young young",2478
"1588","FINE_troubleintoadpool_2012","harry","Harry","Harry_child_char","human","male",10,272,"FINE","Harry_FINE_char","child","young","young young young young young",2038
"1590","FINE_troubleintoadpool_2012","dad","James Mountfield","JamesMountfield_adult_char","human","male",45,502,"FINE","James_Mountfield_FINE_char","adult","old","old",502
"1591","FINE_troubleintoadpool_2012","mum","Tansy","Tansy_adult_char","human","female",45,487,"FINE","Tansy_FINE_char","adult","old","old old",623
"1594","FINE_troubleintoadpool_2012","digby","Digby","Digby_adult_char","human","male",45,114,"FINE","Digby_FINE_char","adult","old","old",114
"1595","FINE_troubleintoadpool_2012","aunt","Susan Harlow","SusanHarlow_adult_char","human","female",45,533,"FINE","Susan_Harlow_FINE_char","adult","old","old",533
"1596","FINE_troubleintoadpool_2012","titania","Titania","Titania_child_char","human","female",10,346,"FINE","Titania_FINE_char","child","young","young young",367
"1598","FINE_troubleintoadpool_2012","tristram","Tristram","Tristram_adult_char","human","male",45,874,"FINE","Tristram_FINE_char","adult","old","old old",2266
"1601","FINE_troubleintoadpool_2012","blunt","Emily Blunt","EmilyBlunt_adult_char","human","female",45,97,"FINE","Emily_Blunt_FINE_char","adult","old","old",97
"1603","FINE_troubleintoadpool_2012","esmeralda","Esmeralda Blunt","EsmeraldaBlunt_child_char","human","female",10,101,"FINE","Esmeralda_Blunt_FINE_char","child","young","young",101
"1607","FINE_underthebed_2015","toby","Toby","Toby_child_char","human","male",10,182,"FINE","Toby_FINE_char","child","young","young young young young young young young",856
"1608","FINE_underthebed_2015","toby0","Toby","Toby_0.0_char","human","male",0,1,"FINE","Toby_FINE_char","0","young","young young young young young young young",856
"1609","FINE_underthebed_2015","tobyinfant","Toby","Toby_infant_char","human","male",5,2,"FINE","Toby_FINE_char","infant","young","young young young young young young young",856
"1610","FINE_underthebed_2015","harry","Harry","Harry_child_char","human","male",10,76,"FINE","Harry_FINE_char","child","young","young young young young young",2038
"1619","FINE_uponcloudnine_2002","ianado","Ian James Paramour","IanJamesParamour_adolescent_char","human","male",15,1246,"FINE","Ian_James_Paramour_FINE_char","adolescent","young","young young young young young",1461
"1620","FINE_uponcloudnine_2002","ianchild","Ian James Paramour","IanJamesParamour_child_char","human","male",10,83,"FINE","Ian_James_Paramour_FINE_char","child","young","young young young young young",1461
"1621","FINE_uponcloudnine_2002","ianearly","Ian James Paramour","IanJamesParamour_earlychild_char","human","male",10,4,"FINE","Ian_James_Paramour_FINE_char","earlychild","young","young young young young young",1461
"1622","FINE_uponcloudnine_2002","ianinfant","Ian James Paramour","IanJamesParamour_infant_char","human","male",5,3,"FINE","Ian_James_Paramour_FINE_char","infant","young","young young young young young",1461
"1623","FINE_uponcloudnine_2002","ianlate","Ian James Paramour","IanJamesParamour_latechild_char","human","male",12,125,"FINE","Ian_James_Paramour_FINE_char","latechild","young","young young young young young",1461
"1632","FINE_uponcloudnine_2002","mrfuller","Fuller","Fuller_adult_char","human","male",45,41,"FINE","Fuller_FINE_char","adult","old","old old",64
"1646","FINE_uponcloudnine_2002","otherstol","Stuart Terence Oliver","StuartTerenceOliver_adolescent_char","supernatural","male",15,20,"FINE","Stuart_Terence_Oliver_FINE_char","adolescent","young","young young young young young",1782
"1647","FINE_uponcloudnine_2002","rupert","Rupert","Rupert_adolescent_char","human","male",15,10,"FINE","Rupert_FINE_char","adolescent","young","young young",104
"1649","FINE_uponcloudnine_2002","stolado","Stuart Terence Oliver","StuartTerenceOliver_adolescent_char","human","male",15,1461,"FINE","Stuart_Terence_Oliver_FINE_char","adolescent","young","young young young young young",1782
"1650","FINE_uponcloudnine_2002","stolchild","Stuart Terence Oliver","StuartTerenceOliver_child_char","human","male",10,161,"FINE","Stuart_Terence_Oliver_FINE_char","child","young","young young young young young",1782
"1651","FINE_uponcloudnine_2002","stolearly","Stuart Terence Oliver","StuartTerenceOliver_earlychild_char","human","male",10,15,"FINE","Stuart_Terence_Oliver_FINE_char","earlychild","young","young young young young young",1782
"1652","FINE_uponcloudnine_2002","stollate","Stuart Terence Oliver","StuartTerenceOliver_latechild_char","human","male",12,125,"FINE","Stuart_Terence_Oliver_FINE_char","latechild","young","young young young young young",1782
"1655","FINE_uponcloudnine_2002","tomdunn","Tom Dunn","TomDunn_adolescent_char","human","male",15,62,"FINE","Tom_Dunn_FINE_char","adolescent","young","young",62
"1659","GAIMAN_fortunatelythemilk_2013","steg","Steg","Steg_adult_char","animal","female",45,260,"GAIMAN","Steg_GAIMAN_char","adult","old","old",260
"1660","GAIMAN_stardust_1999","alberic","Johannes Alberic","JohannesAlberic_adult_char","human","male",45,66,"GAIMAN","Johannes_Alberic_GAIMAN_char","adult","old","old",66
"1670","GAIMAN_stardust_1999","bromios","Bromios","Bromios_adult_char","human","male",45,21,"GAIMAN","Bromios_GAIMAN_char","adult","old","old old",68
"1671","GAIMAN_stardust_1999","brown","Jerome Ambrose Brown","JeromeAmbroseBrown_adult_char","human","male",45,53,"GAIMAN","Jerome_Ambrose_Brown_GAIMAN_char","adult","old","old old",57
"1672","GAIMAN_stardust_1999","brownyounger","Jerome Ambrose Brown","JeromeAmbroseBrown_adult_char","human","male",45,4,"GAIMAN","Jerome_Ambrose_Brown_GAIMAN_char","adult","old","old old",57
"1690","GAIMAN_stardust_1999","fatherdaisy","Hempstock","Hempstock_57.0_char","human","male",57,15,"GAIMAN","Hempstock_GAIMAN_char","57","old","old old old old",57
"1694","GAIMAN_stardust_1999","grandfatherhempstock","Hempstock","Hempstock_oldadult_char","human","male",60,2,"GAIMAN","Hempstock_GAIMAN_char","oldadult","old","old old old old",57
"1695","GAIMAN_stardust_1999","grandmotherhempstock","Hempstock","Hempstock_oldadult_char","human","female",60,2,"GAIMAN","Hempstock_GAIMAN_char","oldadult","old","old old old old",57
"1700","GAIMAN_stardust_1999","louisa14","Louisa Thorn","LouisaThorn_14.0_char","human","female",14,1,"GAIMAN","Louisa_Thorn_GAIMAN_char","14","young","young young young young",79
"1701","GAIMAN_stardust_1999","louisa17","Louisa Thorn","LouisaThorn_17.0_char","human","female",17,64,"GAIMAN","Louisa_Thorn_GAIMAN_char","17","young","young young young young",79
"1702","GAIMAN_stardust_1999","louisa7","Louisa Thorn","LouisaThorn_7.0_char","human","female",7,4,"GAIMAN","Louisa_Thorn_GAIMAN_char","7","young","young young young young",79
"1703","GAIMAN_stardust_1999","louisachild","Louisa Thorn","LouisaThorn_child_char","human","female",10,10,"GAIMAN","Louisa_Thorn_GAIMAN_char","child","young","young young young young",79
"1706","GAIMAN_stardust_1999","monday","Robert Monday","RobertMonday_45.0_char","human","male",45,57,"GAIMAN","Robert_Monday_GAIMAN_char","45","old","old",57
"1708","GAIMAN_stardust_1999","motherdaisy","Hempstock","Hempstock_adult_char","human","female",45,38,"GAIMAN","Hempstock_GAIMAN_char","adult","old","old old old old",57
"1709","GAIMAN_stardust_1999","mrbromios","Bromios","Bromios_adult_char","human","male",45,47,"GAIMAN","Bromios_GAIMAN_char","adult","old","old old",68
"1722","GAIMAN_stardust_1999","semeleadult","Semele / Ditchwater Sal","Semele/DitchwaterSal_adult_char","supernatural","female",45,5,"GAIMAN","Semele__Ditchwater_Sal_GAIMAN_char","adult","old","old old",416
"1723","GAIMAN_stardust_1999","semeleoldadult","Semele / Ditchwater Sal","Semele/DitchwaterSal_oldadult_char","supernatural","female",60,411,"GAIMAN","Semele__Ditchwater_Sal_GAIMAN_char","oldadult","old","old old",416
"1758","GAIMAN_stardust_1999","victoria14","Victoria Forester","VictoriaForester_14.0_char","human","female",14,3,"GAIMAN","Victoria_Forester_GAIMAN_char","14","young","young young young young",410
"1759","GAIMAN_stardust_1999","victoria15","Victoria Forester","VictoriaForester_15.0_char","human","female",15,6,"GAIMAN","Victoria_Forester_GAIMAN_char","15","young","young young young young",410
"1760","GAIMAN_stardust_1999","victoria16","Victoria Forester","VictoriaForester_16.0_char","human","female",16,20,"GAIMAN","Victoria_Forester_GAIMAN_char","16","young","young young young young",410
"1761","GAIMAN_stardust_1999","victoria17","Victoria Forester","VictoriaForester_17.0_char","human","female",17,381,"GAIMAN","Victoria_Forester_GAIMAN_char","17","young","young young young young",410
"1765","GAVIN_blackberryblue_2013","abicrow","Abiteth","Abiteth_oldadult_char","animal","male",60,5,"GAVIN","Abiteth_GAVIN_char","oldadult","old","old old old",97
"1766","GAVIN_blackberryblue_2013","abifly","Abiteth","Abiteth_oldadult_char","supernatural","male",60,13,"GAVIN","Abiteth_GAVIN_char","oldadult","old","old old old",97
"1767","GAVIN_blackberryblue_2013","abiteth","Abiteth","Abiteth_oldadult_char","supernatural","male",60,79,"GAVIN","Abiteth_GAVIN_char","oldadult","old","old old old",97
"1768","GAVIN_blackberryblue_2013","abu","Abu","Abu_adolescent_char","human","male",15,775,"GAVIN","Abu_GAVIN_char","adolescent","young","young",775
"1769","GAVIN_blackberryblue_2013","blue","Blackberry Blue","BlackberryBlue_infant_char","human","female",5,17,"GAVIN","Blackberry_Blue_GAVIN_char","infant","young","young young young",249
"1770","GAVIN_blackberryblue_2013","blueolder","Blackberry Blue","BlackberryBlue_child_char","human","female",10,10,"GAVIN","Blackberry_Blue_GAVIN_char","child","young","young young young",249
"1771","GAVIN_blackberryblue_2013","blueolder2","Blackberry Blue","BlackberryBlue_adolescent_char","human","female",15,222,"GAVIN","Blackberry_Blue_GAVIN_char","adolescent","young","young young young",249
"1773","GAVIN_blackberryblue_2013","chi","Chi","Chi_adolescent_char","human","male",15,296,"GAVIN","Chi_GAVIN_char","adolescent","young","young young young",325
"1774","GAVIN_blackberryblue_2013","chiwater","Chi","Chi_adolescent_char","supernatural","male",15,13,"GAVIN","Chi_GAVIN_char","adolescent","young","young young young",325
"1775","GAVIN_blackberryblue_2013","chiyoung","Chi","Chi_child_char","human","male",10,16,"GAVIN","Chi_GAVIN_char","child","young","young young young",325
"1777","GAVIN_blackberryblue_2013","dark","Dark","Dark_adult_char","supernatural","male",45,121,"GAVIN","Dark_GAVIN_char","adult","old","old",121
"1778","GAVIN_blackberryblue_2013","day","Day","Day_adolescent_char","human","male",15,247,"GAVIN","Day_GAVIN_char","adolescent","young","young",247
"1779","GAVIN_blackberryblue_2013","desire","Desire","Desire_adolescent_char","supernatural","female",15,351,"GAVIN","Desire_GAVIN_char","adolescent","young","young young",377
"1780","GAVIN_blackberryblue_2013","desirebaby","Desire","Desire_infant_char","supernatural","female",5,26,"GAVIN","Desire_GAVIN_char","infant","young","young young",377
"1797","GAVIN_blackberryblue_2013","fullraven","Raven Witch","RavenWitch_adult_char","supernatural","female",45,6,"GAVIN","Raven_Witch_GAVIN_char","adult","old","old old",50
"1798","GAVIN_blackberryblue_2013","fullwolf","Wolf","Wolf_adolescent_char","supernatural","male",15,10,"GAVIN","Wolf_GAVIN_char","adolescent","young","young young young",72
"1801","GAVIN_blackberryblue_2013","joy","Joy","Joy_child_char","human","female",10,414,"GAVIN","Joy_GAVIN_char","child","young","young young",419
"1802","GAVIN_blackberryblue_2013","joyolder","Joy","Joy_adolescent_char","human","female",15,5,"GAVIN","Joy_GAVIN_char","adolescent","young","young young",419
"1803","GAVIN_blackberryblue_2013","just","Just","Just_infant_char","human","male",5,7,"GAVIN","Just_GAVIN_char","infant","young","young young young",165
"1804","GAVIN_blackberryblue_2013","justolder","Just","Just_child_char","human","male",10,3,"GAVIN","Just_GAVIN_char","child","young","young young young",165
"1805","GAVIN_blackberryblue_2013","justolder2","Just","Just_adolescent_char","human","male",15,155,"GAVIN","Just_GAVIN_char","adolescent","young","young young young",165
"1806","GAVIN_blackberryblue_2013","leyla","Leyla","Leyla_adolescent_char","human","female",15,159,"GAVIN","Leyla_GAVIN_char","adolescent","young","young",159
"1807","GAVIN_blackberryblue_2013","lu","Lu","Lu_adolescent_char","human","male",15,174,"GAVIN","Lu_GAVIN_char","adolescent","young","young",174
"1809","GAVIN_blackberryblue_2013","miskouri","Miskouri","Miskouri_adult_char","animal","female",45,253,"GAVIN","Miskouri_GAVIN_char","adult","old","old",253
"1810","GAVIN_blackberryblue_2013","nightking","Night King","NightKing_adult_char","supernatural","male",45,55,"GAVIN","Night_King_GAVIN_char","adult","old","old",55
"1811","GAVIN_blackberryblue_2013","nightqueen","Night Queen","NightQueen_adult_char","supernatural","female",45,57,"GAVIN","Night_Queen_GAVIN_char","adult","old","old",57
"1812","GAVIN_blackberryblue_2013","odd","Oddboy","Oddboy_child_char","human","male",10,295,"GAVIN","Oddboy_GAVIN_char","child","young","young young",315
"1813","GAVIN_blackberryblue_2013","oddbird","Oddboy","Oddboy_child_char","animal","male",10,20,"GAVIN","Oddboy_GAVIN_char","child","young","young young",315
"1814","GAVIN_blackberryblue_2013","peta","Petamenghi","Petamenghi_oldadult_char","human","male",60,165,"GAVIN","Petamenghi_GAVIN_char","oldadult","old","old",165
"1815","GAVIN_blackberryblue_2013","purplelady","Purple Lady","PurpleLady_adult_char","supernatural","female",45,89,"GAVIN","Purple_Lady_GAVIN_char","adult","old","old",89
"1816","GAVIN_blackberryblue_2013","ravenwitch","Raven Witch","RavenWitch_adult_char","human","female",45,44,"GAVIN","Raven_Witch_GAVIN_char","adult","old","old old",50
"1817","GAVIN_blackberryblue_2013","remus","Remus","Remus_child_char","human","male",10,376,"GAVIN","Remus_GAVIN_char","child","young","young",376
"1819","GAVIN_blackberryblue_2013","shasti","Shasti","Shasti_deepoldadult_char","human","female",60,65,"GAVIN","Shasti_GAVIN_char","deepoldadult","old","old",65
"1821","GAVIN_blackberryblue_2013","sunking","Sun King","SunKing_adult_char","supernatural","male",45,64,"GAVIN","Sun_King_GAVIN_char","adult","old","old",64
"1822","GAVIN_blackberryblue_2013","wolf","Wolf","Wolf_child_char","human","male",10,12,"GAVIN","Wolf_GAVIN_char","child","young","young young young",72
"1823","GAVIN_blackberryblue_2013","wolfolder2","Wolf","Wolf_adolescent_char","human","male",15,50,"GAVIN","Wolf_GAVIN_char","adolescent","young","young young young",72
"1824","GAVIN_doubledare_1982","lorraine","Lorraine","Lorraine_middlechild_char","human","female",10,395,"GAVIN","Lorraine_GAVIN_char","middlechild","young","young",395
"1833","GAVIN_doubledare_1982","charlie","Charlie Miles","CharlieMiles_earlychild_char","human","male",10,416,"GAVIN","Charlie_Miles_GAVIN_char","earlychild","young","young",416
"1836","GAVIN_doubledare_1982","cecil","Cecil Orpington","CecilOrpington_latechild_char","human","male",12,125,"GAVIN","Cecil_Orpington_GAVIN_char","latechild","young","young",125
"1837","GAVIN_doubledare_1982","charlotte","Charlotte Orpington","CharlotteOrpington_latechild_char","human","female",12,84,"GAVIN","Charlotte_Orpington_GAVIN_char","latechild","young","young",84
"1838","GAVIN_doubledare_1982","amelia","Amelia Orpington","AmeliaOrpington_middlechild_char","human","female",10,69,"GAVIN","Amelia_Orpington_GAVIN_char","middlechild","young","young",69
"1849","GAVIN_doubledare_1982","terry","Terry Singh","TerrySingh_latechild_char","human","male",12,655,"GAVIN","Terry_Singh_GAVIN_char","latechild","young","young",655
"1852","GAVIN_doubledare_1982","auntmay","May","May_adult_char","human","female",45,59,"GAVIN","May_GAVIN_char","adult","old","old",59
"1854","GAVIN_doubledare_1982","grandfatherterry","Jaswal-Singh","Jaswal-Singh_deepoldadult_char","human","male",60,111,"GAVIN","Jaswal-Singh_GAVIN_char","deepoldadult","old","old",111
"1855","GAVIN_doubledare_1982","alan","Alan","Alan_latechild_char","human","male",12,108,"GAVIN","Alan_GAVIN_char","latechild","young","young",108
"1858","GAVIN_doubledare_1982","maggieklein","Maggie Parker","MaggieParker_middlechild_char","human","female",10,5,"GAVIN","Maggie_Parker_GAVIN_char","middlechild","young","young young",353
"1859","GAVIN_doubledare_1982","maggie","Maggie Parker","MaggieParker_latechild_char","human","female",12,348,"GAVIN","Maggie_Parker_GAVIN_char","latechild","young","young young",353
"1860","GAVIN_doubledare_1982","mrwinterbourne","Edward Winterbourne","EdwardWinterbourne_oldadult_char","human","male",60,360,"GAVIN","Edward_Winterbourne_GAVIN_char","oldadult","old","old",360
"1862","GAVIN_doubledare_1982","mrsparker","Parker","Parker_adult_char","human","female",45,31,"GAVIN","Parker_GAVIN_char","adult","old","old old",68
"1863","GAVIN_doubledare_1982","mrparker","Parker","Parker_adult_char","human","male",45,37,"GAVIN","Parker_GAVIN_char","adult","old","old old",68
"1875","GAVIN_theeyeofthehorse_1994","billy","Billy","Billy_latechild_char","human","male",12,94,"GAVIN","Billy_GAVIN_char","latechild","young","young",94
"1879","GAVIN_theeyeofthehorse_1994","cudlip","Johnnie Cudlip","JohnnieCudlip_adolescent_char","human","male",15,165,"GAVIN","Johnnie_Cudlip_GAVIN_char","adolescent","young","young",165
"1888","GAVIN_theeyeofthehorse_1994","gandhi","Mahatma Gandiji","MahatmaGandiji_adult_char","human","male",45,57,"GAVIN","Mahatma_Gandiji_GAVIN_char","adult","old","old",57
"1889","GAVIN_theeyeofthehorse_1994","gordon","Gordon Collins","GordonCollins_child_char","human","male",10,51,"GAVIN","Gordon_Collins_GAVIN_char","child","young","young",51
"1895","GAVIN_theeyeofthehorse_1994","irene","Irene","Irene_adolescent_char","human","female",15,55,"GAVIN","Irene_GAVIN_char","adolescent","young","young",55
"1924","GAVIN_theeyeofthehorse_1994","mrchadwick","Harold Chadwick","HaroldChadwick_adult_char","human","male",45,148,"GAVIN","Harold_Chadwick_GAVIN_char","adult","old","old old",170
"1926","GAVIN_theeyeofthehorse_1994","mrogrady","Gerry O'Grady","GerryO'Grady_middleadult_char","human","male",41,92,"GAVIN","Gerry_O'Grady_GAVIN_char","middleadult","old","old",92
"1929","GAVIN_theeyeofthehorse_1994","mrsogrady","O'Grady","O'Grady_middleadult_char","human","female",41,188,"GAVIN","O'Grady_GAVIN_char","middleadult","old","old old",213
"1933","GAVIN_theeyeofthehorse_1994","patrick17","Patrick O'Grady","PatrickO'Grady_17.0_char","human","male",17,334,"GAVIN","Patrick_O'Grady_GAVIN_char","17","young","young young young young",659
"1934","GAVIN_theeyeofthehorse_1994","patrick18","Patrick O'Grady","PatrickO'Grady_18.0_char","human","male",18,1,"GAVIN","Patrick_O'Grady_GAVIN_char","18","young","young young young young",659
"1938","GAVIN_theeyeofthehorse_1994","sandeep","Sandeep One Eye","SandeepOneEye_adolescent_char","human","male",15,299,"GAVIN","Sandeep_One_Eye_GAVIN_char","adolescent","young","young",299
"1941","GAVIN_theeyeofthehorse_1994","silbermann","Silbermann","Silbermann_oldadult_char","human","male",60,140,"GAVIN","Silbermann_GAVIN_char","oldadult","old","old",140
"1942","GAVIN_theeyeofthehorse_1994","sparrow","Sparrow","Sparrow_child_char","human","male",10,290,"GAVIN","Sparrow_GAVIN_char","child","young","young",290
"1946","GAVIN_thetrackofthewind_1997","amarjit","Amarjit Singh","AmarjitSingh_adult_char","human","male",45,176,"GAVIN","Amarjit_Singh_GAVIN_char","adult","old","old",176
"1954","GAVIN_thetrackofthewind_1997","dalip","Dalip","Dalip_adolescent_char","human","male",15,105,"GAVIN","Dalip_GAVIN_char","adolescent","young","young",105
"1969","GAVIN_thetrackofthewind_1997","harold","Harold Chadwick","HaroldChadwick_adult_char","human","male",45,22,"GAVIN","Harold_Chadwick_GAVIN_char","adult","old","old old",170
"1981","GAVIN_thetrackofthewind_1997","jungli","Jungli","Jungli_child_char","human","male",10,158,"GAVIN","Jungli_GAVIN_char","child","young","young young",181
"1982","GAVIN_thetrackofthewind_1997","jungli1961","Jungli","Jungli_adolescent_char","human","male",15,23,"GAVIN","Jungli_GAVIN_char","adolescent","young","young young",181
"1999","GAVIN_thetrackofthewind_1997","mrsogrady","O'Grady","O'Grady_adult_char","human","female",45,25,"GAVIN","O'Grady_GAVIN_char","adult","old","old old",213
"2003","GAVIN_thetrackofthewind_1997","patrick17","Patrick O'Grady","PatrickO'Grady_17.0_char","human","male",17,10,"GAVIN","Patrick_O'Grady_GAVIN_char","17","young","young young young young",659
"2004","GAVIN_thetrackofthewind_1997","patrick18","Patrick O'Grady","PatrickO'Grady_18.0_char","human","male",18,314,"GAVIN","Patrick_O'Grady_GAVIN_char","18","young","young young young young",659
"2009","GAVIN_thetrackofthewind_1997","ricky","Ricky Jansen","RickyJansen_adult_char","human","male",45,226,"GAVIN","Ricky_Jansen_GAVIN_char","adult","old","old",226
